States/Uts,Drivers - Persons Killed - Number,Drivers - Persons Killed - Rank,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed - Number,Passengers - Persons Killed - Rank,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,1728,9,950,2385,3335,684,7,573,1686,2259
Arunachal Pradesh,9,28,7,5,12,6,27,3,4,7
Assam,360,16,495,40,535,179,15,288,34,322
Bihar,238,18,267,1,268,149,16,183,1,184
Chhattisgarh,2198,4,673,2470,3143,622,8,351,1828,2179
Goa,90,20,13,75,88,25,22,41,130,171
Gujarat,1498,10,1466,668,2134,608,9,794,558,1352
Haryana,365,15,241,329,570,82,18,116,89,205
Himachal Pradesh,70,21,193,252,445,20,23,43,82,125
Jammu and Kashmir,35,24,49,232,281,28,21,80,156,236
Jharkhand,754,12,528,151,679,604,10,406,65,471
Karnataka,1892,7,2735,2077,4812,741,6,1531,1625,3156
Kerala,297,17,459,106,565,252,13,1185,773,1958
Madhya Pradesh,2646,3,1349,8622,9971,1287,3,885,5593,6478
Maharashtra,3368,2,2865,1112,3977,1510,2,1962,663,2625
Manipur,21,27,11,68,79,8,26,15,62,77
Meghalaya,7,29,7,0,7,6,27,8,1,9
Mizoram,1,32,2,1,3,2,30,0,0,0
Nagaland,6,30,12,3,15,2,30,12,20,32
Orissa,767,11,794,378,1172,503,12,657,482,1139
Punjab,495,14,195,107,302,215,14,155,68,223
Rajasthan,1844,8,896,1817,2713,969,4,584,1481,2065
Sikkim,0,33,0,0,0,0,33,0,0,0
Tamil Nadu,2011,5,675,10274,10949,561,11,203,3162,3365
Telangana,2004,6,566,3271,3837,841,5,250,2239,2489
Tripura,39,23,76,1,77,10,25,57,2,59
Uttarakhand,103,19,85,5,90,74,19,65,9,74
Uttar Pradesh,3808,1,2602,1675,4277,2131,1,1621,1004,2625
West Bengal,524,13,437,736,1173,95,17,54,131,185
Andaman and Nicobar Islands,0,33,0,0,0,0,33,0,0,0
Chandigarh,6,30,2,4,6,2,30,2,6,8
Dadra and Nagar Haveli,32,26,20,6,26,6,27,12,9,21
Daman and Diu,NA,33,NA,NA,0,NA,33,NA,NA,0
Delhi,61,22,16,109,125,45,20,11,107,118
Lakshadweep,0,33,0,1,1,0,33,0,0,0
Puducherry,33,25,161,278,439,12,24,19,51,70
Total,27310,NA,18847,37259,56106,12279,NA,12166,22121,34287
