Sl. No.,States/UTs,Deaths - 2017,Deaths - 2018,Deaths - 2019,Deaths - 2021
1,Andhra Pradesh,8060,7556,7984,8186
2,Arunachal Pradesh,110,175,127,157
3,Assam,2783,2966,3208,3036
4,Bihar,5554,6729,7205,7660
5,Chhattisgarh,4136,4592,5003,5371
6,Goa,328,262,297,226
7,Gujarat,7289,7996,7390,7452
8,Haryana,5120,5118,5057,4706
9,Himachal Pradesh,1203,1208,1146,1052
10,Jharkhand,3256,3542,3801,3513
11,Karnataka,10609,10990,10958,10038
12,Kerala,4131,4303,4440,3429
13,Madhya Pradesh,10177,10706,11249,12057
14,Maharashtra,12264,13261,12788,13528
15,Manipur,136,134,156,110
16,Meghalaya,182,182,179,187
17,Mizoram,60,45,48,56
18,Nagaland,41,39,26,55
19,Odisha,4790,5315,5333,5081
20,Punjab,4463,4740,4525,4589
21,Rajasthan,10444,10320,10563,10043
22,Sikkim,78,85,73,56
23,Tamil Nadu,16157,12216,10525,15384
24,Telangana,6596,6603,6964,7557
25,Tripura,161,213,239,194
26,Uttarakhand,942,1047,867,820
27,Uttar Pradesh,20124,22256,22655,21227
28,West Bengal,5769,5711,5500,5800
29,Andaman and Nicobar Islands,21,19,20,20
30,Chandigarh,107,98,104,96
31,Dadra and Nagar Haveli,43,54,49,76
32,Daman and Diu,36,35,28,NA
33,Delhi,1584,1690,1463,1239
34,Jammu and Kashmir,926,984,996,774
35,Ladakh,NA,NA,NA,56
36,Lakshadweep,0,1,0,1
37,Puducherry,233,226,147,140
Total,Total,147913,151417,151113,153972
