Age-Group,Number of Persons Killed - 2016,Number of Persons Killed - 2017,Number of Persons Killed - 2018,%-Age Change in 2016 over 2017,%-Age Change in 2018 over 2017
Less than 18,10622,9408,9977,-11.43,6.05
% Share in Total,7,6.4,6.6,NA,NA
18-25,31775,34244,32777,7.77,-4.28
% Share in Total,21.1,23.2,21.6,NA,NA
25-35,38076,39549,39960,3.87,1.04
% Share in Total,25.3,26.7,26.4,NA,NA
35-45,33558,32788,32672,-2.29,-0.35
% Share in Total,22.3,22.2,21.6,NA,NA
45-60,22174,22462,22798,1.3,1.5
% Share in Total,14.7,15.2,15.1,NA,NA
Above 60,8814,9384,9075,6.47,-3.29
% Share in Total,5.8,6.3,6,NA,NA
Age not known,5766,78,4158,-98.65,5230.77
% Share in Total,3.8,0.1,2.7,NA,NA
Total,150785,147913,151417,-1.9,2.37
