States/UTs,Persons Killed,GrievousIy Injured,Minor Injured,Non Injured,Persons Killed,GrievousIy Injured,Minor Injured,Non Injured
Andhra Pradesh,890,1000,1492,3112,696,4,1154,3216
Arunachal Pradesh,3,5,0,0,1,0,2,0
Assam,152,310,58,0,195,381,67,0
Bihar,0,0,0,0,427,348,145,0
Chhattisgarh,508,288,666,19,313,209,1187,5
Goa,131,45,215,471,39,94,343,0
Gujarat,586,730,638,150,1326,1174,1179,315
Haryana,171,44,150,1,249,366,321,8
Himachal Pradesh,160,188,195,73,54,91,157,0
Jammu & Kashmir,2,1,7,0,9,0,43,0
Jharkhand,443,253,42,0,456,512,73,0
Karnataka,1567,2639,3505,69,1510,2765,3977,0
Kerala,432,1090,256,0,390,4228,1853,0
Madhya Pradesh,1949,1202,7709,432,1234,1173,7042,132
Maharashtra,2721,3508,1920,0,1648,2896,1857,0
Manipur,7,2,27,0,8,14,33,0
Meghalaya,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0
Nagaland,5,19,29,25,3,7,14,20
Orissa,471,506,281,0,457,570,593,0
Punjab,738,322,74,9,228,206,85,1
Rajasthan,1236,786,1094,72,992,662,1577,19
Sikkim,0,0,2,0,1,0,3,0
Tamil Nadu,4620,1945,15375,0,1485,591,8067,0
Telangana,1104,243,1688,292,760,209,2742,10
Tripura,5,5,0,2,1,10,0,0
Uttarakhand,23,49,6,0,33,55,17,0
Uttar Pradesh,2246,2094,915,53,2160,1494,808,43
West Bengal,717,649,884,665,134,119,198,0
A & N Islands,0,0,0,0,2,10,30,0
Chandigarh,0,0,0,0,0,0,0,0
D & N Haveli,0,0,0,0,0,0,0,0
Daman & Diu,16,20,5,4,5,12,9,0
Delhi,63,27,136,0,29,13,128,0
Lakshadweep,0,0,0,0,0,0,0,0
Puducherry,129,364,659,49,35,131,235,4
Total,21095,18334,38028,5498,14880,18344,33939,3773
